"name"	"taxRank"	"taxID"	"Max"	"C001_FD2_ORC.cladeReads"	"C001_FD2_TZO.cladeReads"	"C001_FD3_ORC.cladeReads"	"C001_FD3_TZO.cladeReads"	"C001_L.3_ORC.cladeReads"	"C001_L.3_TZO.cladeReads"	"C001_L.44_ORC.cladeReads"	"C001_L.44_TZO.cladeReads"	"C001_L.92_ORC.cladeReads"	"C001_L.92_TZO.cladeReads"	"C001_R.1_ORC.cladeReads"	"C001_R.1_TZO.cladeReads"	"C001_R.45_ORC.cladeReads"	"C001_R.45_TZO.cladeReads"	"C001_R.82_ORC.cladeReads"	"C001_R.82_TZO.cladeReads"	"C002_FD2_ORC.cladeReads"	"C002_FD2_TZO.cladeReads"	"C002_FD3_ORC.cladeReads"	"C002_FD3_TZO.cladeReads"	"C002_L.3_ORC.cladeReads"	"C002_L.3_TZO.cladeReads"	"C002_L.44_ORC.cladeReads"	"C002_L.44_TZO.cladeReads"	"C002_L.92_ORC.cladeReads"	"C002_L.92_TZO.cladeReads"	"C002_R.1_ORC.cladeReads"	"C002_R.1_TZO.cladeReads"	"C002_R.45_ORC.cladeReads"	"C002_R.45_TZO.cladeReads"	"C002_R.82_ORC.cladeReads"	"C002_R.82_TZO.cladeReads"	"C003_FD2_ORC.cladeReads"	"C003_FD2_TZO.cladeReads"	"C003_FD3_ORC.cladeReads"	"C003_FD3_TZO.cladeReads"	"C003_L.3_ORC.cladeReads"	"C003_L.3_TZO.cladeReads"	"C003_L.44_ORC.cladeReads"	"C003_L.44_TZO.cladeReads"	"C003_L.92_ORC.cladeReads"	"C003_L.92_TZO.cladeReads"	"C003_R.1_ORC.cladeReads"	"C003_R.45_ORC.cladeReads"	"C003_R.45_TZO.cladeReads"	"C003_R.82_ORC.cladeReads"	"C003_R.82_TZO.cladeReads"	"C004_FD2_ORC.cladeReads"	"C004_FD2_TZO.cladeReads"	"C004_FD3_ORC.cladeReads"	"C004_FD3_TZO.cladeReads"	"C004_L.3_ORC.cladeReads"	"C004_L.3_TZO.cladeReads"	"C004_L.44_ORC.cladeReads"	"C004_L.44_TZO.cladeReads"	"C004_L.92_ORC.cladeReads"	"C004_L.92_TZO.cladeReads"	"C004_R.1_ORC.cladeReads"	"C004_R.1_TZO.cladeReads"	"C004_R.45_ORC.cladeReads"	"C004_R.45_TZO.cladeReads"	"C004_R.82_ORC.cladeReads"	"C004_R.82_TZO.cladeReads"	"lineage"
"Gordonia iterans"	"S"	1004901	100	NA	8	NA	25	NA	64	17	5	NA	20	NA	38	NA	1	NA	85	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	45	NA	100	2	NA	NA	14	NA	8	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Gordoniaceae>Gordonia"
"Gordonia ajococcus"	"S"	1292359	19	NA	7	NA	4	NA	3	NA	10	NA	5	NA	4	NA	6	NA	3	NA	3	NA	4	NA	1	NA	3	NA	1	NA	1	NA	4	NA	3	1	12	NA	9	NA	NA	NA	6	NA	11	NA	NA	7	NA	19	NA	6	NA	12	NA	5	NA	7	NA	1	NA	12	NA	6	NA	12	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Gordoniaceae>Gordonia"
"Gordonia zhaorongruii"	"S"	2597659	41	NA	3	NA	NA	4	NA	NA	7	NA	NA	NA	NA	NA	1	5	NA	NA	4	NA	NA	NA	39	NA	7	NA	26	NA	NA	NA	NA	2	NA	NA	9	NA	3	NA	NA	41	8	NA	23	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	16	NA	2	NA	27	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Gordoniaceae>Gordonia"
"Gordonia rubripertincta"	"S"	36822	13	NA	1	NA	3	1	3	1	13	NA	1	NA	8	NA	2	NA	2	1	NA	NA	NA	NA	5	1	NA	NA	NA	NA	NA	NA	NA	1	NA	9	1	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	1	NA	2	NA	NA	NA	2	NA	1	NA	5	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Gordoniaceae>Gordonia"
"Skermania piniformis"	"S"	39122	155	NA	3	NA	NA	NA	7	NA	NA	NA	NA	NA	12	NA	6	NA	6	2	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	6	NA	NA	NA	3	3	29	1	NA	NA	155	26	NA	NA	NA	NA	4	7	NA	15	1	NA	NA	NA	NA	29	NA	1	NA	NA	NA	NA	NA	NA	7	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Gordoniaceae>Skermania"
"Dietzia sp. B32"	"S"	2915130	231	NA	19	15	31	1	98	19	16	NA	20	18	76	4	29	1	9	12	8	NA	2	1	NA	NA	14	NA	36	NA	NA	NA	NA	2	31	NA	19	1	1	NA	231	23	54	NA	12	NA	16	2	6	2	3	25	6	49	NA	45	NA	79	NA	59	NA	50	NA	41	73	22	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Dietziaceae>Dietzia>unclassified&nbsp;Dietzia"
"Dietzia sp. DQ12-45-1b"	"S"	912801	33	NA	4	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Dietziaceae>Dietzia>unclassified&nbsp;Dietzia"
"Micrococcus sp. HOU1"	"S"	3101753	915	NA	7	37	5	2	111	NA	1	NA	29	23	12	NA	4	1	NA	3	134	NA	139	1	915	2	94	NA	37	NA	8	NA	14	NA	13	223	47	17	2	27	121	86	31	NA	72	30	6	NA	NA	NA	NA	114	10	29	NA	22	11	99	2	20	3	28	NA	19	2	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Micrococcus>unclassified&nbsp;Micrococcus"
"Micrococcus sp. SL257"	"S"	2995171	394	NA	1	5	NA	NA	33	25	NA	2	7	NA	22	NA	NA	NA	NA	8	NA	2	105	2	394	NA	3	NA	NA	1	NA	NA	42	NA	NA	24	NA	3	4	9	95	1	59	NA	6	25	7	1	NA	NA	1	NA	NA	20	NA	29	3	NA	NA	117	NA	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Micrococcus>unclassified&nbsp;Micrococcus"
"Arthrobacter sp. NEB 688"	"S"	904039	293	NA	5	NA	NA	11	NA	NA	21	NA	NA	15	NA	NA	30	11	NA	3	2	3	191	NA	293	2	10	NA	88	3	NA	NA	23	NA	27	NA	NA	NA	1	4	264	NA	75	NA	NA	NA	NA	3	NA	22	NA	NA	2	27	NA	34	NA	15	NA	50	1	65	NA	15	36	26	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Arthrobacter>unclassified&nbsp;Arthrobacter"
"Arthrobacter sp. QXT-31"	"S"	1357915	46	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	1	2	NA	NA	NA	1	46	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Arthrobacter>unclassified&nbsp;Arthrobacter"
"Arthrobacter sp. YN"	"S"	2020486	3	NA	3	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Arthrobacter>unclassified&nbsp;Arthrobacter"
"Arthrobacter sp. PAMC 25486"	"S"	1494608	164	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	164	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	12	NA	NA	23	NA	NA	NA	NA	NA	NA	NA	NA	1	8	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Arthrobacter>unclassified&nbsp;Arthrobacter"
"Arthrobacter dokdonellae"	"S"	2211210	117	NA	6	NA	21	NA	NA	NA	15	1	NA	NA	4	NA	NA	NA	12	NA	NA	NA	59	NA	1	NA	17	NA	NA	1	NA	NA	NA	4	13	NA	48	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	1	NA	8	NA	NA	NA	NA	2	NA	NA	NA	NA	117	NA	NA	NA	NA	NA	11	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Arthrobacter"
"Kocuria varians"	"S"	1272	417	NA	19	17	59	NA	7	NA	157	NA	60	12	31	1	10	NA	30	24	56	NA	385	NA	100	1	32	1	141	2	39	NA	43	3	39	20	96	3	3	33	112	65	185	NA	14	56	30	8	NA	24	NA	286	12	56	2	224	21	54	3	145	9	44	NA	86	20	417	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Kocuria"
"Kocuria indica"	"S"	1049583	362	NA	7	NA	NA	6	246	NA	178	NA	31	46	NA	NA	4	NA	NA	14	33	NA	162	NA	42	NA	20	1	60	4	14	NA	12	1	23	6	NA	31	NA	1	223	16	82	NA	17	80	12	4	4	NA	NA	362	4	2	1	NA	NA	36	2	NA	NA	NA	NA	5	1	28	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Kocuria"
"Nesterenkonia sp. NBAIMH1"	"S"	2600320	38	NA	4	NA	4	NA	2	22	10	4	6	NA	1	NA	1	NA	5	11	4	NA	NA	NA	NA	NA	16	NA	NA	NA	21	NA	13	4	7	NA	4	NA	10	NA	26	NA	38	5	2	NA	1	10	NA	8	NA	NA	1	1	5	20	4	1	NA	NA	NA	1	NA	3	NA	11	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Nesterenkonia>unclassified&nbsp;Nesterenkonia"
"Pseudarthrobacter equi"	"S"	728066	112	NA	1	NA	NA	NA	12	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	NA	1	112	NA	NA	NA	NA	NA	25	NA	NA	NA	NA	NA	NA	4	23	NA	NA	NA	NA	NA	NA	NA	NA	32	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	NA	4	NA	NA	NA	NA	NA	2	5	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Pseudarthrobacter"
"Citricoccus muralis"	"S"	169134	541	NA	6	NA	10	7	25	3	74	NA	1	23	29	NA	2	5	66	1	102	1	487	3	24	NA	39	NA	52	7	13	2	29	4	24	12	NA	5	2	NA	541	NA	50	NA	45	30	NA	2	18	20	NA	370	13	5	2	NA	8	NA	2	37	NA	NA	NA	NA	19	5	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Citricoccus"
"Zhihengliuella sp. ISTPL4"	"S"	2058657	162	NA	1	NA	NA	NA	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	NA	NA	4	162	NA	NA	2	NA	NA	18	NA	NA	NA	29	NA	5	12	NA	NA	1	NA	82	NA	NA	NA	37	1	NA	NA	80	14	NA	1	4	1	2	NA	5	NA	NA	NA	8	NA	NA	1	16	4	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Zhihengliuella>unclassified&nbsp;Zhihengliuella"
"Brachybacterium sp. NBEC-018"	"S"	2996004	31	NA	3	NA	31	NA	3	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	11	3	NA	NA	NA	NA	NA	1	NA	NA	7	4	NA	NA	NA	NA	NA	NA	15	NA	NA	NA	3	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Dermabacteraceae>Brachybacterium>unclassified&nbsp;Brachybacterium"
"Brachybacterium sp. SGAir0954"	"S"	2571029	199	NA	2	NA	58	3	16	17	NA	1	15	NA	16	NA	2	NA	NA	NA	NA	1	NA	NA	37	1	NA	NA	1	NA	9	NA	12	NA	1	3	NA	2	NA	NA	199	NA	99	NA	8	NA	2	NA	23	NA	3	24	NA	NA	NA	NA	1	44	NA	NA	2	62	NA	11	4	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Dermabacteraceae>Brachybacterium>unclassified&nbsp;Brachybacterium"
"Brachybacterium avium"	"S"	2017485	381	NA	13	23	73	25	7	11	NA	NA	32	39	11	NA	5	NA	NA	16	NA	2	118	3	381	NA	32	2	35	2	7	NA	51	1	5	42	55	11	16	40	NA	171	60	NA	226	32	31	4	NA	NA	2	345	18	59	NA	99	13	8	2	NA	7	24	NA	6	6	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Dermabacteraceae>Brachybacterium"
"Brachybacterium ginsengisoli"	"S"	1331682	215	NA	4	NA	7	NA	38	31	17	NA	26	NA	18	NA	3	NA	23	7	90	NA	192	NA	20	3	11	NA	NA	NA	21	1	23	22	38	23	29	6	2	NA	129	45	68	NA	64	22	23	4	26	2	NA	215	10	NA	NA	33	8	7	1	1	15	NA	2	42	1	13	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Dermabacteraceae>Brachybacterium"
"Microbacterium sp. TPU 3598"	"S"	1938334	25	NA	7	17	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	NA	NA	NA	NA	8	25	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	7	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium>unclassified&nbsp;Microbacterium"
"Microbacterium sp. NIBRBAC000506063"	"S"	2734618	119	NA	5	4	NA	NA	8	NA	8	NA	NA	NA	NA	NA	4	NA	5	NA	NA	2	NA	NA	29	NA	NA	NA	NA	NA	5	NA	NA	NA	3	1	26	NA	NA	NA	119	16	NA	NA	7	24	4	8	11	7	NA	80	NA	NA	NA	NA	4	NA	NA	NA	10	NA	NA	5	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium>unclassified&nbsp;Microbacterium"
"Microbacterium sp. LWH10-1.2"	"S"	3135255	24	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	1	NA	2	3	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	1	NA	1	NA	NA	1	24	NA	NA	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	1	7	8	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium>unclassified&nbsp;Microbacterium"
"Microbacterium sp. No. 7"	"S"	1714373	389	NA	2	6	1	11	63	NA	7	NA	26	2	NA	NA	8	NA	NA	NA	NA	3	79	3	389	NA	28	NA	25	NA	NA	NA	NA	1	NA	11	3	5	2	7	145	NA	72	NA	17	21	6	NA	36	12	NA	169	NA	12	NA	46	NA	2	NA	42	NA	3	NA	NA	27	4	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium>unclassified&nbsp;Microbacterium"
"Microbacterium sp. F6_8S_P_2B"	"S"	3041512	145	NA	2	NA	4	NA	NA	12	8	2	25	46	3	NA	4	5	9	NA	15	NA	90	NA	11	NA	6	NA	42	NA	NA	NA	7	2	NA	1	NA	NA	NA	NA	NA	NA	145	2	NA	NA	4	NA	20	9	4	99	3	17	NA	16	NA	31	NA	60	11	23	NA	NA	7	5	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium>unclassified&nbsp;Microbacterium"
"Microbacterium sp. LWH7-1.2"	"S"	3135257	241	NA	2	1	NA	NA	24	NA	39	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	14	NA	20	1	14	2	3	1	3	NA	NA	NA	NA	NA	23	NA	1	1	8	NA	2	241	NA	23	NA	22	NA	49	NA	NA	NA	NA	NA	NA	4	18	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium>unclassified&nbsp;Microbacterium"
"Microbacterium sp. BH-3-3-3"	"S"	1906742	130	NA	1	13	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	6	16	NA	NA	NA	NA	NA	1	NA	42	NA	NA	NA	NA	NA	NA	NA	NA	2	3	2	NA	NA	94	NA	NA	NA	NA	NA	10	NA	NA	4	NA	130	NA	18	NA	NA	NA	NA	NA	24	NA	33	NA	6	11	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium>unclassified&nbsp;Microbacterium"
"Microbacterium sp. 1S1"	"S"	2606451	223	NA	1	10	60	NA	26	69	NA	NA	15	NA	NA	NA	NA	9	NA	3	9	NA	NA	NA	9	2	17	1	NA	NA	NA	NA	8	NA	NA	15	NA	4	NA	NA	77	NA	36	NA	8	NA	16	NA	9	9	4	223	NA	30	NA	20	NA	56	NA	NA	NA	19	1	NA	3	4	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium>unclassified&nbsp;Microbacterium"
"Microbacterium abyssi"	"S"	2782166	69	NA	11	NA	NA	8	17	NA	NA	1	NA	NA	4	1	5	2	NA	NA	NA	NA	NA	NA	16	NA	4	NA	NA	NA	NA	NA	NA	21	7	NA	NA	NA	NA	NA	69	NA	61	2	NA	NA	NA	NA	11	12	NA	NA	3	18	NA	NA	NA	NA	NA	NA	6	NA	NA	6	7	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium esteraromaticum"	"S"	57043	108	NA	4	NA	NA	NA	25	10	30	NA	NA	NA	NA	NA	NA	3	18	NA	NA	NA	NA	4	NA	NA	16	NA	NA	3	NA	NA	12	7	3	NA	NA	4	NA	NA	NA	NA	NA	1	16	26	1	NA	26	NA	NA	108	NA	NA	NA	NA	2	NA	NA	NA	NA	3	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium resistens"	"S"	156977	160	NA	4	16	NA	NA	14	1	NA	NA	19	13	27	NA	3	NA	3	NA	41	NA	NA	NA	160	3	16	2	54	NA	NA	NA	NA	6	20	5	21	4	3	NA	4	NA	NA	NA	21	26	5	NA	NA	3	NA	2	NA	37	NA	7	11	NA	NA	NA	NA	11	NA	6	7	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium azadirachtae"	"S"	582680	109	NA	3	NA	NA	NA	37	NA	NA	NA	13	NA	NA	NA	NA	2	NA	11	38	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	NA	NA	26	24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	109	NA	NA	NA	1	NA	3	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium pygmaeum"	"S"	370764	64	NA	1	9	NA	NA	22	28	NA	NA	NA	NA	NA	NA	10	5	16	NA	62	NA	NA	NA	NA	NA	16	1	NA	NA	NA	NA	NA	NA	24	NA	NA	NA	NA	NA	58	11	NA	2	6	34	4	3	NA	6	NA	NA	NA	NA	NA	25	2	64	NA	NA	NA	23	NA	6	3	15	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
"Curtobacterium sp. TC1"	"S"	2862880	167	NA	21	1	5	NA	16	NA	5	NA	3	NA	6	NA	15	1	2	NA	NA	1	2	NA	167	1	2	NA	28	NA	NA	NA	NA	4	NA	NA	3	NA	NA	NA	79	NA	47	NA	NA	16	2	NA	NA	34	NA	10	11	22	1	33	NA	40	NA	63	NA	20	NA	17	4	11	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Curtobacterium>unclassified&nbsp;Curtobacterium"
"Curtobacterium sp. MCBD17_026"	"S"	2175621	126	NA	4	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Curtobacterium>unclassified&nbsp;Curtobacterium"
"Leucobacter allii"	"S"	2932247	74	NA	8	10	NA	NA	17	6	14	NA	16	NA	5	NA	2	NA	7	4	NA	NA	15	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	9	NA	NA	3	5	9	74	59	33	NA	13	72	10	3	NA	1	NA	1	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	5	9	8	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Leucobacter"
"Leucobacter triazinivorans"	"S"	1784719	402	NA	6	16	67	7	9	36	5	1	30	35	10	NA	NA	11	75	3	NA	NA	402	2	86	NA	17	1	NA	NA	4	NA	37	6	13	2	70	NA	3	4	359	81	65	NA	19	10	24	NA	13	24	2	NA	12	48	NA	122	9	NA	NA	NA	12	NA	NA	NA	7	3	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Leucobacter"
"Microcella humidisoli"	"S"	2963406	373	NA	13	NA	49	14	NA	16	6	NA	6	52	55	3	NA	8	36	7	111	2	346	NA	38	NA	NA	2	47	NA	28	NA	27	NA	1	2	14	NA	7	2	225	80	2	1	15	18	1	NA	73	NA	2	373	13	45	7	28	2	11	3	54	29	3	NA	2	23	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microcella"
"Microcella alkaliphila"	"S"	279828	79	NA	1	8	NA	10	NA	NA	NA	1	12	NA	NA	NA	1	NA	NA	NA	54	NA	NA	NA	1	2	NA	NA	14	NA	79	NA	2	2	NA	4	NA	3	NA	NA	26	NA	63	1	NA	3	6	NA	NA	23	NA	NA	3	NA	NA	4	NA	NA	NA	41	NA	12	NA	6	10	7	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microcella"
"Microcella sp."	"S"	1913979	198	NA	1	NA	NA	2	NA	NA	NA	NA	5	1	NA	NA	1	NA	NA	NA	49	NA	125	1	NA	NA	11	NA	NA	NA	12	NA	NA	1	4	NA	NA	NA	3	19	198	NA	2	NA	10	31	NA	NA	23	14	1	99	10	15	NA	20	NA	1	NA	NA	NA	4	NA	2	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microcella>unclassified&nbsp;Microcella"
"Agrococcus beijingensis"	"S"	3068634	195	NA	2	NA	NA	NA	11	45	25	NA	39	11	NA	NA	2	4	195	18	NA	NA	69	NA	NA	NA	16	1	1	NA	9	5	NA	16	55	4	68	3	6	NA	145	11	NA	2	28	27	NA	3	6	17	NA	NA	NA	10	NA	1	1	92	NA	70	NA	NA	NA	NA	5	33	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Agrococcus"
"Agrococcus carbonis"	"S"	684552	48	NA	1	NA	NA	5	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	48	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	8	33	7	NA	2	NA	NA	36	NA	NA	NA	NA	10	4	NA	NA	NA	NA	3	NA	7	NA	NA	NA	NA	NA	45	NA	NA	NA	11	NA	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Agrococcus"
